disease,MEDICATION:
Renal Failure,furosemide; torsemide; ethacrynic acid; furosemide; torsemide; ethacrynic acid; furosemide; torsemide; ethacrynic acid; furosemide; torsemide; ethacrynic acid
Chronic Rhinosinusitis with Nasal Polyps,dupilumab
Chronic Spasticity,baclofen; dantrolene; onabotulinumtoxinA
Eosinophilic Granulomatosis with Polyangiitis,mepolizumab; mepolizumab; mepolizumab
Systemic Sclerosis,methotrexate; prednisone; cyclophosphamide; tocilizumab; methotrexate; prednisone; cyclophosphamide; tocilizumab; methotrexate; prednisone; cyclophosphamide; tocilizumab; methotrexate; prednisone; cyclophosphamide; tocilizumab
Neuronal Ceroid Lipofuscinosis,cerliponase alfa; cerliponase alfa; cerliponase alfa; cerliponase alfa; cerliponase alfa
Major Depressive Disorder,bupropion; sertraline; trazodone; venlafaxine; fluoxetine; mirtazapine; duloxetine; escitalopram; bupropion; sertraline; trazodone; venlafaxine; fluoxetine; mirtazapine; duloxetine; escitalopram; bupropion; sertraline; trazodone; venlafaxine; fluoxetine; mirtazapine; duloxetine; escitalopram; bupropion; sertraline; trazodone; venlafaxine; fluoxetine; mirtazapine; duloxetine; escitalopram; bupropion; sertraline; trazodone; venlafaxine; fluoxetine; mirtazapine; duloxetine; escitalopram; bupropion; sertraline; trazodone; venlafaxine; fluoxetine; mirtazapine; duloxetine; escitalopram
Liver Fluke (Clornorchis sinensis),albendazole; praziquantel; albendazole; praziquantel
Prevention of Clostridioides difficile Infection Recurrence,bezlotoxumab; bezlotoxumab; bezlotoxumab
Closure of Colostomy,fibrin sealant; fibrin sealant; fibrin sealant
Cluster Headaches,tizanidine; sumatriptan; verapamil; indomethacin; prednisone; dihydroergotamine; caffeine / ergotamine; cyproheptadine; lithium; zolmitriptan
Cluster-Tic Syndrome,clonazepam; gabapentin; carbamazepine; baclofen; valproic acid; phenytoin
CMV Gastroenteritis,foscarnet; foscarnet; foscarnet; foscarnet
CMV Infection,ganciclovir; ganciclovir; ganciclovir; ganciclovir
CMV Prophylaxis,valacyclovir; valganciclovir; ganciclovir; cytomegalovirus immune globulin; letermovir; valacyclovir; valganciclovir; ganciclovir; cytomegalovirus immune globulin; letermovir
CMV Retinitis,valganciclovir; ganciclovir; foscarnet; cidofovir; ganciclovir; valganciclovir; ganciclovir; foscarnet; cidofovir; ganciclovir
CNS Magnetic Resonance Imaging,gadopentetate dimeglumine; gadobutrol; gadoteridol; gadodiamide; gadobenate dimeglumine; gadoterate meglumine
Coccidioidomycosis,fluconazole; itraconazole; ketoconazole; amphotericin b; amphotericin b lipid complex; fluconazole; itraconazole; ketoconazole; amphotericin b; amphotericin b lipid complex; fluconazole; itraconazole; ketoconazole; amphotericin b; amphotericin b lipid complex; fluconazole; itraconazole; ketoconazole; amphotericin b; amphotericin b lipid complex; fluconazole; itraconazole; ketoconazole; amphotericin b; amphotericin b lipid complex; fluconazole; itraconazole; ketoconazole; amphotericin b; amphotericin b lipid complex
"Coccidioidomycosis, Meningitis",fluconazole; voriconazole; amphotericin b
Cogan's Syndrome,methotrexate; prednisone; cyclosporine; infliximab; azathioprine; etanercept; cyclophosphamide; mycophenolate mofetil
Cold Symptoms,diphenhydramine; chlorpheniramine; acetaminophen / chlorpheniramine / phenylephrine; pseudoephedrine / triprolidine; diphenhydramine; chlorpheniramine; acetaminophen / chlorpheniramine / phenylephrine; pseudoephedrine / triprolidine; diphenhydramine; chlorpheniramine; acetaminophen / chlorpheniramine / phenylephrine; pseudoephedrine / triprolidine; diphenhydramine; chlorpheniramine; acetaminophen / chlorpheniramine / phenylephrine; pseudoephedrine / triprolidine
Cold Sores (Herpes Simplex Labialis),valacyclovir; acyclovir; acyclovir; famciclovir; benzocaine; acyclovir / hydrocortisone; penciclovir; tetracaine; benzyl alcohol; valacyclovir; acyclovir; acyclovir; famciclovir; benzocaine; acyclovir / hydrocortisone; penciclovir; tetracaine; benzyl alcohol
Noninfectious Colitis,dicyclomine; belladonna; dicyclomine; belladonna; dicyclomine; belladonna
Ulcerative Colitis,mesalamine; azathioprine; sulfasalazine; balsalazide; budesonide; hydrocortisone; infliximab; clonidine; mesalamine; azathioprine; sulfasalazine; balsalazide; budesonide; hydrocortisone; infliximab; clonidine
Ichthyosis,ammonium lactate; ammonium lactate; ammonium lactate; ammonium lactate
Warts,salicylic acid; fluorouracil; silver nitrate; cantharidin; salicylic acid; fluorouracil; silver nitrate; cantharidin; salicylic acid; fluorouracil; silver nitrate; cantharidin; salicylic acid; fluorouracil; silver nitrate; cantharidin; salicylic acid; fluorouracil; silver nitrate; cantharidin; salicylic acid; fluorouracil; silver nitrate; cantharidin; salicylic acid; fluorouracil; silver nitrate; cantharidin
Skin and Structure Infection,mupirocin; amoxicillin / clavulanate; azithromycin; gentamicin; ciprofloxacin; minocycline; cefdinir; cefuroxime; clarithromycin; linezolid; cefadroxil; meropenem; ceftriaxone; mupirocin; amoxicillin / clavulanate; azithromycin; gentamicin; ciprofloxacin; minocycline; cefdinir; cefuroxime; clarithromycin; linezolid; cefadroxil; meropenem; ceftriaxone; mupirocin; amoxicillin / clavulanate; azithromycin; gentamicin; ciprofloxacin; minocycline; cefdinir; cefuroxime; clarithromycin; linezolid; cefadroxil; meropenem; ceftriaxone
Computed Tomography,barium sulfate; iodixanol
Condylomata Acuminata,imiquimod; podofilox; sinecatechins; interferon alfa-2b; interferon alfa-n3; imiquimod; podofilox; sinecatechins; interferon alfa-2b; interferon alfa-n3; imiquimod; podofilox; sinecatechins; interferon alfa-2b; interferon alfa-n3; imiquimod; podofilox; sinecatechins; interferon alfa-2b; interferon alfa-n3
Congenital Fibrinogen Deficiency,fibrinogen; fibrinogen
Herpes Simplex - Congenital,acyclovir; acyclovir; acyclovir
Myotonia Congenita,mexiletine; phenytoin; procainamide; mexiletine; phenytoin; procainamide
Nephrotic Syndrome,prednisone; mycophenolate mofetil; prednisolone; cyclophosphamide; cyclosporine; triamcinolone; hydrochlorothiazide / spironolactone; azathioprine; cortisone; tacrolimus; prednisone; mycophenolate mofetil; prednisolone; cyclophosphamide; cyclosporine; triamcinolone; hydrochlorothiazide / spironolactone; azathioprine; cortisone; tacrolimus; prednisone; mycophenolate mofetil; prednisolone; cyclophosphamide; cyclosporine; triamcinolone; hydrochlorothiazide / spironolactone; azathioprine; cortisone; tacrolimus
Congenital Syphilis,penicillin g benzathine; penicillin g potassium; procaine penicillin; penicillin g sodium
Conjunctivitis,sulfacetamide sodium; dexamethasone; diclofenac; loteprednol; gatifloxacin; triamcinolone; ceftriaxone; lodoxamide; cortisone
Constipation,docusate; polyethylene glycol 3350; bisacodyl; magnesium oxide; magnesium citrate; psyllium; linaclotide; magnesium hydroxide; docusate; polyethylene glycol 3350; bisacodyl; magnesium oxide; magnesium citrate; psyllium; linaclotide; magnesium hydroxide; docusate; polyethylene glycol 3350; bisacodyl; magnesium oxide; magnesium citrate; psyllium; linaclotide; magnesium hydroxide
"Constipation, Acute",lactulose; docusate / senna; polyethylene glycol 3350
"Constipation, Chronic",lactulose; linaclotide; polyethylene glycol 3350 with electrolytes; colchicine; lubiprostone; methylnaltrexone; tegaserod; naloxegol
"Constipation, Drug Induced",lubiprostone; methylnaltrexone; naloxegol
Opioid-Induced Constipation,naloxegol; lubiprostone; methylnaltrexone; naldemedine; naloxegol; lubiprostone; methylnaltrexone; naldemedine; naloxegol; lubiprostone; methylnaltrexone; naldemedine; naloxegol; lubiprostone; methylnaltrexone; naldemedine
Induced Hypotension,nitroprusside; nitroprusside; nitroprusside; nitroprusside
Neurosis,nortriptyline; nortriptyline; nortriptyline
Corneal Cystine Crystal Accumulation,cysteamine
Corneal Refractive Surgery,ketorolac; riboflavin
Corneal Ulcer,ciprofloxacin; ofloxacin; prednisone; diclofenac; levofloxacin
Coronary Arteriography,iodixanol; iopromide; ioversol
Costochondritis,ibuprofen; naproxen; lidocaine
Cough and Nasal Congestion,brompheniramine / dextromethorphan / pseudoephedrine; guaifenesin / pseudoephedrine; dextromethorphan / guaifenesin / phenylephrine; guaifenesin / phenylephrine; chlorpheniramine / hydrocodone / pseudoephedrine; codeine / phenylephrine / promethazine; brompheniramine / dextromethorphan / pseudoephedrine; guaifenesin / pseudoephedrine; dextromethorphan / guaifenesin / phenylephrine; guaifenesin / phenylephrine; chlorpheniramine / hydrocodone / pseudoephedrine; codeine / phenylephrine / promethazine
Scleroderma,methotrexate; prednisone; cyclophosphamide; methotrexate; prednisone; cyclophosphamide; methotrexate; prednisone; cyclophosphamide; methotrexate; prednisone; cyclophosphamide; methotrexate; prednisone; cyclophosphamide; methotrexate; prednisone; cyclophosphamide
Crohn's Disease,azathioprine; mesalamine; budesonide; sulfasalazine; hyoscyamine; cholestyramine; infliximab; adalimumab; vedolizumab; rifaximin; certolizumab; cyclosporine; tacrolimus; ustekinumab; mycophenolate mofetil
"Crohn's Disease, Acute",mercaptopurine; metronidazole; azathioprine; budesonide; prednisone; sulfasalazine; adalimumab; infliximab; ciprofloxacin; prednisolone; dexamethasone; certolizumab; hydrocortisone; betamethasone
"Crohn's Disease, Maintenance",mercaptopurine; mesalamine; azathioprine; metronidazole; budesonide; sulfasalazine; infliximab; adalimumab; certolizumab; vedolizumab; natalizumab
Croup,dexamethasone
Crow's Feet,onabotulinumtoxinA
"Cryptococcal Meningitis, Immunocompetent Host",fluconazole; flucytosine; amphotericin b
"Cryptococcal Meningitis, Immunosuppressed Host",fluconazole; amphotericin b; flucytosine; itraconazole; amphotericin b liposomal
Cryptococcosis,fluconazole; amphotericin b; flucytosine; amphotericin b liposomal; itraconazole; amphotericin b lipid complex
Cryptosporidiosis,nitazoxanide; paromomycin; nitazoxanide; paromomycin; nitazoxanide; paromomycin
Cushing's Syndrome,dexamethasone; cyproheptadine; mifepristone; corticorelin; pasireotide; dexamethasone; cyproheptadine; mifepristone; corticorelin; pasireotide; dexamethasone; cyproheptadine; mifepristone; corticorelin; pasireotide
Merkel Cell Carcinoma,avelumab; pembrolizumab; avelumab; pembrolizumab; avelumab; pembrolizumab; avelumab; pembrolizumab
Cutaneous Bacillus anthracis,doxycycline; ciprofloxacin; amoxicillin; penicillin g potassium; moxifloxacin; procaine penicillin
Cutaneous Fungal Infection,voriconazole
Leishmaniasis,allopurinol; amphotericin b; amphotericin b liposomal; pentamidine; miltefosine; amphotericin b lipid complex; allopurinol; amphotericin b; amphotericin b liposomal; pentamidine; miltefosine; amphotericin b lipid complex
Cutaneous Mastocytosis,ranitidine; famotidine; cimetidine; ranitidine; famotidine; cimetidine
Cutaneous Sporotrichosis,potassium iodide; potassium iodide
Minor Cuts,pramoxine / zinc acetate; benzethonium chloride; pramoxine / zinc acetate; benzethonium chloride
Cyanide Poisoning,hydroxocobalamin; sodium nitrite / sodium thiosulfate; amyl nitrite; sodium thiosulfate; sodium nitrite
Cyclic Vomiting Syndrome,amitriptyline; nortriptyline; sumatriptan; zolmitriptan; amitriptyline; nortriptyline; sumatriptan; zolmitriptan
Cyclitis,loteprednol; dexamethasone; loteprednol / tobramycin
Cyclothymic Disorder,lamotrigine; divalproex sodium; oxcarbazepine; lithium; carbamazepine; lamotrigine; divalproex sodium; oxcarbazepine; lithium; carbamazepine
Cystic Fibrosis,azithromycin; tobramycin; dornase alfa; pancrelipase; vitamin e; ivacaftor; amikacin; aztreonam; gentamicin; ivacaftor / lumacaftor
Cysticercus cellulosae,albendazole; praziquantel
Cystinuria,captopril; tiopronin; penicillamine
Prevention of Bladder infection (Cystitis Prophylaxis),nitrofurantoin; methenamine; trimethoprim; sulfamethoxazole / trimethoprim; nitrofurantoin; methenamine; trimethoprim; sulfamethoxazole / trimethoprim
Cystourethrography,iohexol
Dandruff,ketoconazole; pyrithione zinc; salicylic acid / sulfur; selenium sulfide; salicylic acid
Narcolepsy,modafinil; methylphenidate; dextroamphetamine; amphetamine / dextroamphetamine; armodafinil; amphetamine; desvenlafaxine; sodium oxybate; ephedrine; lisdexamfetamine; solriamfetol; modafinil; methylphenidate; dextroamphetamine; amphetamine / dextroamphetamine; armodafinil; amphetamine; desvenlafaxine; sodium oxybate; ephedrine; lisdexamfetamine; solriamfetol; modafinil; methylphenidate; dextroamphetamine; amphetamine / dextroamphetamine; armodafinil; amphetamine; desvenlafaxine; sodium oxybate; ephedrine; lisdexamfetamine; solriamfetol
Synovitis,prednisone; dexamethasone; triamcinolone; prednisone; dexamethasone; triamcinolone
Deep Neck Infection,clindamycin; metronidazole; ampicillin / sulbactam; cilastatin / imipenem; piperacillin / tazobactam; cefoxitin; penicillin g potassium; penicillin g sodium
Deep Vein Thrombosis Prophylaxis after Abdominal Surgery,enoxaparin; dalteparin; fondaparinux
Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,warfarin; enoxaparin; rivaroxaban; apixaban; fondaparinux; dalteparin
Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,warfarin; enoxaparin; apixaban; rivaroxaban; fondaparinux
Deep Vein Thrombosis Prophylaxis after Orthopedic Surgery,dalteparin
"Deep Vein Thrombosis, First Event",warfarin
"Deep Vein Thrombosis, Prophylaxis",enoxaparin; heparin; rivaroxaban; apixaban; fondaparinux; dalteparin; dabigatran; desirudin
"Deep Vein Thrombosis, Recurrent Event",warfarin; rivaroxaban
Deep Vein Thrombosis/Pulmonary Embolism Prophylaxis Following Hip Replacement Surgery,dabigatran
Dehydration,lvp solution
Gastroparesis,metoclopramide; metoclopramide
"Delayed Puberty, Male",testosterone; methyltestosterone; fluoxymesterone
Paranoid Disorder,risperidone; quetiapine; olanzapine; clozapine; ziprasidone; risperidone; quetiapine; olanzapine; clozapine; ziprasidone; risperidone; quetiapine; olanzapine; clozapine; ziprasidone; risperidone; quetiapine; olanzapine; clozapine; ziprasidone
Lewy Body Dementia,donepezil; rivastigmine; donepezil; rivastigmine; donepezil; rivastigmine; donepezil; rivastigmine
Herpetic Keratitis,trifluridine; acyclovir; trifluridine; acyclovir; trifluridine; acyclovir; trifluridine; acyclovir; trifluridine; acyclovir
Dengue Fever,acetaminophen; acetaminophen; acetaminophen
Oral and Dental Conditions,benzocaine; hydrogen peroxide; benzocaine; hydrogen peroxide
Dental Abscess,amoxicillin; metronidazole; clarithromycin; erythromycin; amoxicillin; metronidazole; clarithromycin; erythromycin; amoxicillin; metronidazole; clarithromycin; erythromycin; amoxicillin; metronidazole; clarithromycin; erythromycin; amoxicillin; metronidazole; clarithromycin; erythromycin
Toothache,ibuprofen; ibuprofen; ibuprofen
Depression,bupropion; sertraline; citalopram; fluoxetine; escitalopram; venlafaxine; duloxetine; trazodone; mirtazapine; paroxetine
Neurotic Depression,amitriptyline; amitriptyline
Postpartum Depression,sertraline; citalopram; fluoxetine; venlafaxine; paroxetine; brexanolone; sertraline; citalopram; fluoxetine; venlafaxine; paroxetine; brexanolone; sertraline; citalopram; fluoxetine; venlafaxine; paroxetine; brexanolone; sertraline; citalopram; fluoxetine; venlafaxine; paroxetine; brexanolone; sertraline; citalopram; fluoxetine; venlafaxine; paroxetine; brexanolone; sertraline; citalopram; fluoxetine; venlafaxine; paroxetine; brexanolone
Depressive Psychosis,olanzapine; amitriptyline; olanzapine; amitriptyline; olanzapine; amitriptyline
"Dermal Necrosis, Prophylaxis",triamcinolone
"Dermal Necrosis, Treatment",phentolamine
Excoriation Disorder,fluoxetine; paroxetine; citalopram; fluoxetine; paroxetine; citalopram; fluoxetine; paroxetine; citalopram; fluoxetine; paroxetine; citalopram
Dermatitis,triamcinolone; clobetasol; betamethasone; triamcinolone; hydrocortisone; fluocinonide; desonide; mometasone; fluocinolone; prednisolone; desoximetasone; fluticasone
Dermatitis Herpetiformis,dapsone; prednisone; dexamethasone; dapsone; prednisone; dexamethasone
Diaper Rash,"zinc oxide; miconazole / zinc oxide; lanolin; menthol / zinc oxide; vitamin a & d; vitamins a, d, and e; zinc oxide; miconazole / zinc oxide; lanolin; menthol / zinc oxide; vitamin a & d; vitamins a, d, and e; zinc oxide; miconazole / zinc oxide; lanolin; menthol / zinc oxide; vitamin a & d; vitamins a, d, and e; zinc oxide; miconazole / zinc oxide; lanolin; menthol / zinc oxide; vitamin a & d; vitamins a, d, and e; zinc oxide; miconazole / zinc oxide; lanolin; menthol / zinc oxide; vitamin a & d; vitamins a, d, and e"
Dermatographism,carbinoxamine
Photoaging of the Skin (Dermatoheliosis),tretinoin; tretinoin
Dermatologic Lesion,zinc oxide; methylprednisolone; balsam peru / castor oil / trypsin; fluticasone; sodium hyaluronate; balsam peru / castor oil
Dermatological Disorders,betamethasone; betamethasone; triamcinolone; clobetasol; hydroquinone; urea; salicylic acid; hydrocortisone / pramoxine; silver; betamethasone; betamethasone; triamcinolone; clobetasol; hydroquinone; urea; salicylic acid; hydrocortisone / pramoxine; silver
Dermatomyositis,prednisone; methotrexate; hydroxychloroquine; azathioprine; mycophenolic acid; mycophenolate mofetil; cyclophosphamide; cortisone
Dermatophytosis,ketoconazole; griseofulvin; itraconazole
Urinary Frequency,oxybutynin; tolterodine; mirabegron; solifenacin; trospium; darifenacin; fesoterodine; flavoxate; onabotulinumtoxinA; oxybutynin; tolterodine; mirabegron; solifenacin; trospium; darifenacin; fesoterodine; flavoxate; onabotulinumtoxinA; oxybutynin; tolterodine; mirabegron; solifenacin; trospium; darifenacin; fesoterodine; flavoxate; onabotulinumtoxinA; oxybutynin; tolterodine; mirabegron; solifenacin; trospium; darifenacin; fesoterodine; flavoxate; onabotulinumtoxinA
"Diabetes, Type 2",metformin; glipizide; glimepiride; pioglitazone; liraglutide; sitagliptin; metformin / sitagliptin; metformin; glipizide; glimepiride; pioglitazone; liraglutide; sitagliptin; metformin / sitagliptin; metformin; glipizide; glimepiride; pioglitazone; liraglutide; sitagliptin; metformin / sitagliptin; metformin; glipizide; glimepiride; pioglitazone; liraglutide; sitagliptin; metformin / sitagliptin
Diabetes Mellitus,insulin degludec; insulin aspart / insulin degludec
"Diabetes, Type 1",insulin glargine; insulin lispro; insulin aspart; insulin regular; insulin glulisine; insulin glargine; insulin lispro; insulin aspart; insulin regular; insulin glulisine; insulin glargine; insulin lispro; insulin aspart; insulin regular; insulin glulisine; insulin glargine; insulin lispro; insulin aspart; insulin regular; insulin glulisine
"Diabetes, Type 3c",metformin; metformin; metformin; metformin
Nonketotic Hyperosmolar Syndrome,insulin regular; insulin glulisine; insulin lispro; insulin aspart; insulin regular; insulin glulisine; insulin lispro; insulin aspart; insulin regular; insulin glulisine; insulin lispro; insulin aspart; insulin regular; insulin glulisine; insulin lispro; insulin aspart; insulin regular; insulin glulisine; insulin lispro; insulin aspart
Diabetic Ketoacidosis,sodium bicarbonate; insulin regular; insulin lispro; insulin aspart; insulin glulisine; sodium bicarbonate; insulin regular; insulin lispro; insulin aspart; insulin glulisine
Diabetic Kidney Disease (Diabetic Nephropathy),lisinopril; losartan; ramipril; enalapril; irbesartan; benazepril; captopril; quinapril; perindopril; fosinopril; moexipril; trandolapril; canagliflozin; lisinopril; losartan; ramipril; enalapril; irbesartan; benazepril; captopril; quinapril; perindopril; fosinopril; moexipril; trandolapril; canagliflozin
Diabetic Macular Edema,fluocinolone; dexamethasone; ranibizumab; aflibercept; fluocinolone; dexamethasone; ranibizumab; aflibercept
Diabetic Peripheral Neuropathy,gabapentin; pregabalin; duloxetine; tapentadol; topiramate; capsaicin; nortriptyline; carbamazepine; mexiletine; gabapentin; pregabalin; duloxetine; tapentadol; topiramate; capsaicin; nortriptyline; carbamazepine; mexiletine; gabapentin; pregabalin; duloxetine; tapentadol; topiramate; capsaicin; nortriptyline; carbamazepine; mexiletine
Diabetic Retinopathy,ranibizumab; aflibercept
Diagnosis and Investigation,mannitol; tuberculin purified protein derivative; metyrapone; tetrofosmin; glucagon; regadenoson; iobenguane I 123; methacholine; sodium iodide-i-131
Diagnostic Bronchograms,acetylcysteine
Diarrhea,loperamide; atropine / diphenoxylate; bismuth subsalicylate; codeine; saccharomyces boulardii lyo; rifaximin; neomycin; octreotide; opium; loperamide; atropine / diphenoxylate; bismuth subsalicylate; codeine; saccharomyces boulardii lyo; rifaximin; neomycin; octreotide; opium; loperamide; atropine / diphenoxylate; bismuth subsalicylate; codeine; saccharomyces boulardii lyo; rifaximin; neomycin; octreotide; opium; loperamide; atropine / diphenoxylate; bismuth subsalicylate; codeine; saccharomyces boulardii lyo; rifaximin; neomycin; octreotide; opium
"Diarrhea, Acute",loperamide; loperamide / simethicone; atropine / difenoxin; loperamide; loperamide / simethicone; atropine / difenoxin
Dissociative Identity Disorder,sertraline; venlafaxine; fluoxetine; citalopram; sertraline; venlafaxine; fluoxetine; citalopram; sertraline; venlafaxine; fluoxetine; citalopram; sertraline; venlafaxine; fluoxetine; citalopram; sertraline; venlafaxine; fluoxetine; citalopram; sertraline; venlafaxine; fluoxetine; citalopram; sertraline; venlafaxine; fluoxetine; citalopram
Dientamoeba fragilis,metronidazole; paromomycin; metronidazole; paromomycin
Dietary Fiber Supplementation,psyllium
Dietary Supplementation,multivitamin; biotin; omega-3 polyunsaturated fatty acids; calcium / vitamin d; vitamin e; calcium citrate; ascorbic acid; chondroitin / glucosamine; bifidobacterium infantis / lactobacillus acidophilus; multivitamin; biotin; omega-3 polyunsaturated fatty acids; calcium / vitamin d; vitamin e; calcium citrate; ascorbic acid; chondroitin / glucosamine; bifidobacterium infantis / lactobacillus acidophilus
Insomnia,trazodone; zolpidem; temazepam; amitriptyline; lorazepam; clonazepam; mirtazapine; doxepin; quetiapine; eszopiclone; diphenhydramine; gabapentin; flurazepam; trazodone; zolpidem; temazepam; amitriptyline; lorazepam; clonazepam; mirtazapine; doxepin; quetiapine; eszopiclone; diphenhydramine; gabapentin; flurazepam; trazodone; zolpidem; temazepam; amitriptyline; lorazepam; clonazepam; mirtazapine; doxepin; quetiapine; eszopiclone; diphenhydramine; gabapentin; flurazepam; trazodone; zolpidem; temazepam; amitriptyline; lorazepam; clonazepam; mirtazapine; doxepin; quetiapine; eszopiclone; diphenhydramine; gabapentin; flurazepam; trazodone; zolpidem; temazepam; amitriptyline; lorazepam; clonazepam; mirtazapine; doxepin; quetiapine; eszopiclone; diphenhydramine; gabapentin; flurazepam; trazodone; zolpidem; temazepam; amitriptyline; lorazepam; clonazepam; mirtazapine; doxepin; quetiapine; eszopiclone; diphenhydramine; gabapentin; flurazepam
Esophageal Spasm,isosorbide mononitrate; isosorbide dinitrate; isosorbide mononitrate; isosorbide dinitrate; isosorbide mononitrate; isosorbide dinitrate
Diffuse Large B-Cell Lymphoma,prednisone; cyclophosphamide; rituximab; doxorubicin; vincristine; axicabtagene ciloleucel; hyaluronidase / rituximab; tisagenlecleucel; polatuzumab vedotin; prednisone; cyclophosphamide; rituximab; doxorubicin; vincristine; axicabtagene ciloleucel; hyaluronidase / rituximab; tisagenlecleucel; polatuzumab vedotin
Digital Subtraction Angiography,iohexol
Digitalis Glycoside Toxicity,digoxin immune fab; digoxin immune fab
Diphtheria,procaine penicillin; penicillin g potassium; penicillin g sodium
Diphtheria Prophylaxis,"diphtheria toxoid / pertussis, acellular / tetanus toxoid; diphtheria toxoid / tetanus toxoid; diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid; diphtheria and tetanus toxoids / pertussis, acellular; diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid; diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid; diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Fish Tapeworm Infection (Diphyllobothrium latum),praziquantel; paromomycin; praziquantel; paromomycin; praziquantel; paromomycin; praziquantel; paromomycin
Dog Tapeworm Infection (Dipylidium caninum),praziquantel; paromomycin; praziquantel; paromomycin; praziquantel; paromomycin
Systemic Lupus Erythematosus,hydroxychloroquine; prednisone; azathioprine; aspirin; mycophenolate mofetil; triamcinolone; belimumab; dexamethasone; hydroxychloroquine; prednisone; azathioprine; aspirin; mycophenolate mofetil; triamcinolone; belimumab; dexamethasone; hydroxychloroquine; prednisone; azathioprine; aspirin; mycophenolate mofetil; triamcinolone; belimumab; dexamethasone; hydroxychloroquine; prednisone; azathioprine; aspirin; mycophenolate mofetil; triamcinolone; belimumab; dexamethasone
"Tuberculosis, Extrapulmonary",prednisone; cycloserine; prednisone; cycloserine; prednisone; cycloserine; prednisone; cycloserine; prednisone; cycloserine
Diverticulitis,metronidazole; ciprofloxacin; clindamycin; sulfamethoxazole / trimethoprim
Submental Fullness,deoxycholic acid; deoxycholic acid; deoxycholic acid
Dracunculiasis,metronidazole; mebendazole
Dravet Syndrome,cannabidiol; stiripentol; cannabidiol; stiripentol; cannabidiol; stiripentol
Excessive Salivation,glycopyrrolate; glycopyrrolate
Drowsiness (Hypersomnia),caffeine; modafinil; dextroamphetamine; armodafinil; caffeine; modafinil; dextroamphetamine; armodafinil; caffeine; modafinil; dextroamphetamine; armodafinil; caffeine; modafinil; dextroamphetamine; armodafinil; caffeine; modafinil; dextroamphetamine; armodafinil; caffeine; modafinil; dextroamphetamine; armodafinil; caffeine; modafinil; dextroamphetamine; armodafinil
Drug Induced Vitamin/Mineral Deficiency,pyridoxine
High Blood Pressure (Hypertension),lisinopril; amlodipine; losartan; hydrochlorothiazide; metoprolol; atenolol; carvedilol; furosemide; hydrochlorothiazide / lisinopril; clonidine; enalapril; valsartan; lisinopril; amlodipine; losartan; hydrochlorothiazide; metoprolol; atenolol; carvedilol; furosemide; hydrochlorothiazide / lisinopril; clonidine; enalapril; valsartan; lisinopril; amlodipine; losartan; hydrochlorothiazide; metoprolol; atenolol; carvedilol; furosemide; hydrochlorothiazide / lisinopril; clonidine; enalapril; valsartan
Dry Eye Disease (Keratoconjunctivitis Sicca),cyclosporine; lifitegrast; hydroxypropyl methylcellulose; cyclosporine; lifitegrast; hydroxypropyl methylcellulose; cyclosporine; lifitegrast; hydroxypropyl methylcellulose; cyclosporine; lifitegrast; hydroxypropyl methylcellulose
Xerostomia,pilocarpine; saliva substitutes; glycerin; amifostine; pilocarpine; saliva substitutes; glycerin; amifostine
Dry Skin (Xerosis),ammonium lactate; urea; emollients; ammonium lactate; urea; emollients
Duchenne Muscular Dystrophy,deflazacort; eteplirsen; golodirsen
Dumping Syndrome,pantoprazole; cholestyramine; acarbose; methscopolamine; octreotide
Duodenal Ulcer,omeprazole; ranitidine; sucralfate; pantoprazole; rabeprazole; famotidine; lansoprazole; atropine / hyoscyamine / phenobarbital / scopolamine; calcium carbonate
Duodenal Ulcer Prophylaxis,ranitidine; sucralfate; esomeprazole; famotidine; lansoprazole; rabeprazole; cimetidine
Gastritis/Duodenitis,omeprazole; pantoprazole; lansoprazole; esomeprazole; omeprazole; pantoprazole; lansoprazole; esomeprazole; omeprazole; pantoprazole; lansoprazole; esomeprazole
Dupuytren's contracture,collagenase clostridium histolyticum; collagenase clostridium histolyticum; collagenase clostridium histolyticum; collagenase clostridium histolyticum
Dwarf Tapeworm Infection (Hymenolepis nana),nitazoxanide; praziquantel; paromomycin; nitazoxanide; praziquantel; paromomycin
Dysautonomia,midodrine; fludrocortisone; pyridostigmine; lorazepam; alprazolam; amitriptyline; sertraline; naproxen; ibuprofen; fluoxetine; nortriptyline; paroxetine
Infectious Diarrhea,ciprofloxacin; ciprofloxacin
Dyslipidemia,pitavastatin; fluvastatin
Period Pain (Dysmenorrhea),ibuprofen; naproxen; mefenamic acid; diclofenac; ketoprofen; celecoxib; ibuprofen; naproxen; mefenamic acid; diclofenac; ketoprofen; celecoxib
Dyspareunia,ospemifene; dehydroepiandrosterone; estradiol; ospemifene; dehydroepiandrosterone; estradiol; ospemifene; dehydroepiandrosterone; estradiol
